Crop_name seeddepth seedday offspring_rate psipwp vegmax genmax tminveg tmaxveg toptveg tmingen tmaxgen toptgen tminphoto tmaxphoto toptphoto daytype expopp photomax stomreg relCO2 gamma gamma0 c4 coef_ex nvmin nvmax weight_lvs root_dia length_root depth_gro_max pen_depth photo_sens seed_bio seed_n maint_ref ref_temp assi_off assi_off_dev assi_leaf assi_leaf_dev assi_stem assi_stem_dev rel_weight_lvs lvs_dev_stage nitro_a nitro_b nitro_lux n_lim straw harvest r_nfix nitro_min_val nitro_min_dev nitro_opt_val nitro_opt_dev class tested
generic_wintercorn 0.025 289 1.736111e-07 -1500000 4.31829e-07 3.30671e-07 0 30 19 8 35 24 0 30 22 1 0.738 1.111111e-06 FALSE 0.9 50 38 false 0.6 25 50 0.0357 5e-04 10.5 2.08333e-07 1.3 -2.112 0.01425 0.02 [{"value":4.321e-07},{"value":1.8519e-07},{"value":9.2593e-08},{"value":6.1728e-08},{"value":9.2593e-08}] 20 [{"value":0.5},{"value":0.71},{"value":0.81},{"value":0.825},{"value":0.865},{"value":0.9},{"value":0.925},{"value":0.95},{"value":0.97},{"value":1},{"value":1}] [{"value":0},{"value":0.2},{"value":0.35},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":2.1}] [{"value":1},{"value":0.96},{"value":0.84},{"value":0.74},{"value":0.67},{"value":0.56},{"value":0.46},{"value":0.31},{"value":0.2},{"value":0.12},{"value":0.06},{"value":0.03},{"value":0},{"value":0}] [{"value":0},{"value":0.1},{"value":0.2},{"value":0.25},{"value":0.3},{"value":0.35},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":2.1}] [{"value":0},{"value":0.04},{"value":0.16},{"value":0.26},{"value":0.33},{"value":0.44},{"value":0.54},{"value":0.69},{"value":0.8},{"value":0.88},{"value":0.94},{"value":0.97},{"value":1},{"value":0},{"value":0}] [{"value":0},{"value":0.1},{"value":0.2},{"value":0.25},{"value":0.3},{"value":0.35},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":1.01},{"value":2.1}] [{"value":1},{"value":1.1},{"value":1.06},{"value":1.5},{"value":1.05},{"value":1},{"value":0.85},{"value":1.07},{"value":1},{"value":1}] [{"value":0},{"value":0.33},{"value":0.36},{"value":0.43},{"value":0.53},{"value":0.62},{"value":0.77},{"value":0.95},{"value":1.14},{"value":2.1}] 1.35 3 0.5 5e-04 TRUE 2 0.24 [{"value":0.005},{"value":0.036},{"value":0.032},{"value":0.028},{"value":0.024},{"value":0.022},{"value":0.02},{"value":0.018},{"value":0.005}] [{"value":0},{"value":0.75},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.055},{"value":0.052},{"value":0.048},{"value":0.043},{"value":0.038},{"value":0.033},{"value":0.027},{"value":0.018}] [{"value":0},{"value":0.75},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_wintercorn yes
generic_summercorn 0.03 75 1.736111e-07 -1500000 4.98843e-07 3.84259e-07 0 37 25 0 37 25 0 40 25 1 0.738 1.05556e-06 FALSE 0.9 50 38 false 0.6 0 0 0.0325 5e-04 10.5 1.38889e-07 1.5 -1.968 0.01395 0.017 [{"value":6.3657e-07},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.7361e-07}] 23 [{"value":0.35},{"value":0.45},{"value":0.85},{"value":1},{"value":1}] [{"value":0},{"value":0.51},{"value":0.72},{"value":0.95},{"value":2.1}] [{"value":0.82},{"value":0.7},{"value":0.55},{"value":0.5},{"value":0.23},{"value":0.01},{"value":0},{"value":0}] [{"value":0},{"value":0.25},{"value":0.51},{"value":0.6},{"value":0.72},{"value":0.83},{"value":0.95},{"value":2.1}] [{"value":0.18},{"value":0.3},{"value":0.45},{"value":0.5},{"value":0.23},{"value":0.01},{"value":0},{"value":0}] [{"value":0},{"value":0.25},{"value":0.51},{"value":0.6},{"value":0.72},{"value":0.83},{"value":0.95},{"value":2.1}] [{"value":1},{"value":1.05},{"value":0.71},{"value":1.41},{"value":1}] [{"value":0},{"value":0.51},{"value":0.6},{"value":0.72},{"value":2.1}] 1.35 3 0.5 4e-04 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn yes
maize 0.06 106 1.736111e-07 -1500000 4.22454e-07 5.20833e-07 0 37 25 8 42 27 0 45 25 1 0.521 1.944444e-06 FALSE 0.4 5 0 true 0.65 0 0 0.045 5e-04 8 6.94444e-07 2 0 0.002925 0.014 [{"value":2.4306e-07},{"value":1.1574e-07},{"value":6.9444e-08},{"value":5.787e-08},{"value":5.787e-08}] 23 [{"value":0.75},{"value":1},{"value":1}] [{"value":0},{"value":1.15},{"value":2.1}] [{"value":0.49},{"value":0.59},{"value":0.2},{"value":0.12},{"value":0.09},{"value":0},{"value":0}] [{"value":0},{"value":0.35},{"value":0.67},{"value":1},{"value":1.18},{"value":1.37},{"value":2.1}] [{"value":0.51},{"value":0.41},{"value":0.66},{"value":0.64},{"value":0.31},{"value":0},{"value":0}] [{"value":0},{"value":0.35},{"value":0.67},{"value":1},{"value":1.18},{"value":1.37},{"value":2.1}] [{"value":0.6},{"value":1},{"value":1.2}] [{"value":0},{"value":0.5},{"value":2.1}] 0.6 9 0.4 5e-04 TRUE 2 0.3 [{"value":0.005},{"value":0.035},{"value":0.033},{"value":0.028},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] [{"value":0.01},{"value":0.05},{"value":0.04},{"value":0.035},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] maize yes
potatoes 0.06 75 4.63e-08 -1500000 4.13194e-07 2.43056e-07 0 37 25 0 37 25 0 40 20 1 0.521 8.33333e-07 FALSE 0.9 50 38 false 1 0 0 0.03 5e-04 8 1.62037e-07 1 0 0.045 0.0035 [{"value":6.3657e-07},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.7361e-07}] 23 [{"value":0.5},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":2.1}] [{"value":0.77},{"value":0.67},{"value":0.39},{"value":0.1},{"value":0},{"value":0}] [{"value":0},{"value":0.37},{"value":0.83},{"value":1.14},{"value":1.35},{"value":2.1}] [{"value":0.16},{"value":0.15},{"value":0.16},{"value":0.15},{"value":0.02},{"value":0},{"value":0}] [{"value":0},{"value":0.37},{"value":0.83},{"value":1.14},{"value":1.35},{"value":1.57},{"value":2.1}] [{"value":1.2},{"value":1.2},{"value":0.83},{"value":1},{"value":1}] [{"value":0},{"value":0.07},{"value":0.9},{"value":1},{"value":2.1}] 1.35 3 0.6 8e-04 TRUE 2 0.27 [{"value":0.005},{"value":0.051},{"value":0.032},{"value":0.045},{"value":0.039},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] [{"value":0.01},{"value":0.068},{"value":0.046},{"value":0.06},{"value":0.052},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] potatoes yes
sillagemaize 0.06 126 1.736111e-07 -1500000 4.22454e-07 5.20833e-07 0 37 25 8 42 27 0 45 25 1 0.521 1.944444e-06 FALSE 0.4 5 0 true 0.65 0 0 0.045 5e-04 8 6.94444e-07 2 0 0.002925 0.014 [{"value":2.4306e-07},{"value":1.1574e-07},{"value":6.9444e-08},{"value":5.787e-08},{"value":5.787e-08}] 23 [{"value":0.75},{"value":1},{"value":1}] [{"value":0},{"value":1.15},{"value":2.1}] [{"value":0.49},{"value":0.59},{"value":0.2},{"value":0.12},{"value":0.09},{"value":0},{"value":0}] [{"value":0},{"value":0.35},{"value":0.67},{"value":1},{"value":1.18},{"value":1.37},{"value":2.1}] [{"value":0.51},{"value":0.41},{"value":0.66},{"value":0.64},{"value":0.31},{"value":0},{"value":0}] [{"value":0},{"value":0.35},{"value":0.67},{"value":1},{"value":1.18},{"value":1.37},{"value":2.1}] [{"value":0.6},{"value":1},{"value":1.2}] [{"value":0},{"value":0.5},{"value":2.1}] 0.6 9 0.4 5e-04 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.033},{"value":0.028},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] [{"value":0.01},{"value":0.05},{"value":0.04},{"value":0.035},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] maize yes
sugarbeet 0.03 90 1.736111e-07 -1500000 7.98611e-08 1.73611e-07 0 35 20 0 37 25 0 45 20 1 0.738 1.05556e-06 FALSE 0.9 50 38 false 0.69 0 0 0.05 5e-04 8 2.31481e-07 1.2 0 0.00038475 0.00175 [{"value":1.2693e-07},{"value":5.4398e-08},{"value":2.7199e-08},{"value":1.8133e-08},{"value":2.7199e-08}] 23 [{"value":0.6},{"value":0.9},{"value":1},{"value":1}] [{"value":0},{"value":0.35},{"value":0.52},{"value":1.1}] [{"value":0.7},{"value":0.36},{"value":0.08},{"value":0.07},{"value":0.05},{"value":0}] [{"value":0},{"value":0.35},{"value":0.52},{"value":0.7},{"value":0.86},{"value":1.1}] [{"value":0.3},{"value":0.32},{"value":0.23},{"value":0.2},{"value":0.05},{"value":0}] [{"value":0},{"value":0.35},{"value":0.52},{"value":0.7},{"value":0.86},{"value":1.1}] [{"value":1},{"value":1.1},{"value":1.2},{"value":1.2},{"value":1.3},{"value":1.3}] [{"value":0},{"value":0.35},{"value":0.52},{"value":0.7},{"value":0.86},{"value":1.1}] 1.11 1.38 0.4 8e-04 FALSE 1 0.38 [{"value":0.005},{"value":0.045},{"value":0.043},{"value":0.037},{"value":0.034},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] [{"value":0.01},{"value":0.06},{"value":0.059},{"value":0.053},{"value":0.049},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] sugarbeet yes
summerbarley 0.03 75 1.736111e-07 -1500000 4.98843e-07 3.84259e-07 0 37 25 0 37 25 0 40 25 1 0.738 1.05556e-06 FALSE 0.9 50 38 false 0.6 0 0 0.0325 5e-04 10.5 1.38889e-07 1.5 -1.968 0.01395 0.017 [{"value":6.3657e-07},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.7361e-07}] 23 [{"value":0.35},{"value":0.45},{"value":0.85},{"value":1},{"value":1}] [{"value":0},{"value":0.51},{"value":0.72},{"value":0.95},{"value":2.1}] [{"value":0.82},{"value":0.7},{"value":0.55},{"value":0.5},{"value":0.23},{"value":0.01},{"value":0},{"value":0}] [{"value":0},{"value":0.25},{"value":0.51},{"value":0.6},{"value":0.72},{"value":0.83},{"value":0.95},{"value":2.1}] [{"value":0.18},{"value":0.3},{"value":0.45},{"value":0.5},{"value":0.23},{"value":0.01},{"value":0},{"value":0}] [{"value":0},{"value":0.25},{"value":0.51},{"value":0.6},{"value":0.72},{"value":0.83},{"value":0.95},{"value":2.1}] [{"value":1},{"value":1.05},{"value":0.71},{"value":1.41},{"value":1}] [{"value":0},{"value":0.51},{"value":0.6},{"value":0.72},{"value":2.1}] 1.35 3 0.5 4e-04 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn yes
winterwheat 0.025 289 1.736111e-07 -1500000 4.31829e-07 3.30671e-07 0 30 19 8 35 24 0 30 22 1 0.738 1.111111e-06 FALSE 0.9 50 38 false 0.6 25 50 0.0357 5e-04 10.5 2.08333e-07 1.3 -2.112 0.01425 0.02 [{"value":4.321e-07},{"value":1.8519e-07},{"value":9.2593e-08},{"value":6.1728e-08},{"value":9.2593e-08}] 20 [{"value":0.5},{"value":0.71},{"value":0.81},{"value":0.825},{"value":0.865},{"value":0.9},{"value":0.925},{"value":0.95},{"value":0.97},{"value":1},{"value":1}] [{"value":0},{"value":0.2},{"value":0.35},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":2.1}] [{"value":1},{"value":0.96},{"value":0.84},{"value":0.74},{"value":0.67},{"value":0.56},{"value":0.46},{"value":0.31},{"value":0.2},{"value":0.12},{"value":0.06},{"value":0.03},{"value":0},{"value":0}] [{"value":0},{"value":0.1},{"value":0.2},{"value":0.25},{"value":0.3},{"value":0.35},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":2.1}] [{"value":0},{"value":0.04},{"value":0.16},{"value":0.26},{"value":0.33},{"value":0.44},{"value":0.54},{"value":0.69},{"value":0.8},{"value":0.88},{"value":0.94},{"value":0.97},{"value":1},{"value":0},{"value":0}] [{"value":0},{"value":0.1},{"value":0.2},{"value":0.25},{"value":0.3},{"value":0.35},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":1.01},{"value":2.1}] [{"value":1},{"value":1.1},{"value":1.06},{"value":1.5},{"value":1.05},{"value":1},{"value":0.85},{"value":1.07},{"value":1},{"value":1}] [{"value":0},{"value":0.33},{"value":0.36},{"value":0.43},{"value":0.53},{"value":0.62},{"value":0.77},{"value":0.95},{"value":1.14},{"value":2.1}] 1.35 3 0.5 5e-04 TRUE 2 0.24 [{"value":0.005},{"value":0.036},{"value":0.032},{"value":0.028},{"value":0.024},{"value":0.022},{"value":0.02},{"value":0.018},{"value":0.005}] [{"value":0},{"value":0.75},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.055},{"value":0.052},{"value":0.048},{"value":0.043},{"value":0.038},{"value":0.033},{"value":0.027},{"value":0.018}] [{"value":0},{"value":0.75},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_wintercorn yes
springbarley 0.03 75 1.736111e-07 -1500000 5.06365740740741e-07 5.40123456790123e-07 0 45 35 0 45 35 0 40 25 1 -4.125 9.72222222222222e-07 FALSE 0.9 50 38 false 0.44 14 70 0.05 5e-04 10.5 2.31481481481481e-07 1.25 0 0.01395 0.017 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] 23 [{"value":0.4},{"value":0.45},{"value":1},{"value":1}] [{"value":0},{"value":0.4},{"value":1},{"value":2}] [{"value":1},{"value":1},{"value":0.4},{"value":0.1},{"value":0},{"value":0}] [{"value":0},{"value":0.33},{"value":0.8},{"value":1},{"value":1.01},{"value":2}] [{"value":0},{"value":0},{"value":0.6},{"value":0.9},{"value":0.15},{"value":0}] [{"value":0},{"value":0.33},{"value":0.8},{"value":1},{"value":1.01},{"value":2}] [{"value":1},{"value":0.5714},{"value":0.8},{"value":0.9091},{"value":0.9091}] [{"value":0},{"value":0.3},{"value":0.9},{"value":1.45},{"value":2}] 1.35 3 0.5 0.00072 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn no
cassava 0.06 75 4.63e-08 -1500000 2.31481481481481e-07 3.85802469135802e-08 0 45 35 0 45 35 0 40 20 1 0.0416666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.8 14 70 0.0833333333333333 5e-04 8 2.31481481481481e-07 1 1 0.045 0.0035 [{"value":0},{"value":3.4722e-07},{"value":4.6296e-08},{"value":3.4722e-08},{"value":1.1574e-07}] 23 [{"value":0.97},{"value":1}] [{"value":0},{"value":2}] [{"value":0.75},{"value":0.6},{"value":0.16},{"value":0.16}] [{"value":0},{"value":1},{"value":1.29},{"value":2}] [{"value":0.25},{"value":0.4},{"value":0.29},{"value":0.29}] [{"value":0},{"value":1},{"value":1.29},{"value":2}] [{"value":1},{"value":0.3871},{"value":0.8571},{"value":0.8571}] [{"value":0},{"value":1.02},{"value":1.33},{"value":2}] 1.35 3 0.6 0.00072 TRUE 2 0.27 [{"value":0.005},{"value":0.051},{"value":0.032},{"value":0.045},{"value":0.039},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] [{"value":0.01},{"value":0.068},{"value":0.046},{"value":0.06},{"value":0.052},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] potatoes no
